"inlf","hours","kidslt6","kidsge6","age","educ","wage","repwage","hushrs","husage","huseduc","huswage","faminc","mtr","motheduc","fatheduc","unem","city","exper","nwifeinc","lwage","expersq"
1,1610,1,0,32,12,3.354,2.65,2708,34,12,4.0288,16310,0.7215,12,7,5,0,14,10.91006,1.210154,196
1,1656,0,2,30,12,1.3889,2.65,2310,30,9,8.4416,21800,0.6615,7,7,11,1,5,19.49998,0.3285121,25
1,1980,1,3,35,12,4.5455,4.04,3072,40,12,3.5807,21040,0.6915,12,7,5,0,15,12.03991,1.514138,225
1,456,0,3,34,12,1.0965,3.25,1920,53,10,3.5417,7300,0.7815,7,7,5,0,6,6.799996,0.0921233,36
1,1568,1,2,31,14,4.5918,3.6,2000,32,12,10,27300,0.6215,12,14,9.5,1,7,20.10006,1.524272,49
1,2032,0,0,54,12,4.7421,4.7,1040,57,11,6.7106,19495,0.6915,14,7,7.5,1,33,9.859054,1.55648,1089
1,1440,0,2,37,16,8.3333,5.95,2670,37,12,3.4277,21152,0.6915,14,7,5,0,11,9.152048,2.12026,121
1,1020,0,0,54,12,7.8431,9.98,4120,53,8,2.5485,18900,0.6915,3,3,5,0,35,10.90004,2.059634,1225
1,1458,0,2,48,12,2.1262,0,1995,52,4,4.2206,20405,0.7515,7,7,3,0,24,17.305,0.7543364,576
1,1600,0,2,39,12,4.6875,4.15,2100,43,12,5.7143,20425,0.6915,7,7,5,0,21,12.925,1.544899,441
1,1969,0,1,33,12,4.063,4.3,2450,34,12,9.7959,32300,0.5815,12,3,5,0,15,24.29995,1.401922,225
1,1960,0,1,42,11,4.5918,4.58,2375,47,14,8,28700,0.6215,14,7,5,0,14,19.70007,1.524272,196
1,240,1,2,30,12,2.0833,0,2830,33,16,5.3004,15500,0.7215,16,16,5,0,0,15.00001,0.7339532,0
1,997,0,2,43,12,2.2668,3.5,3317,46,12,4.3413,16860,0.7215,10,10,7.5,1,14,14.6,0.8183691,196
1,1848,0,1,43,10,3.6797,3.38,2024,45,17,10.87,31431,0.5815,7,7,7.5,1,6,24.63091,1.302831,36
1,1224,0,3,35,11,1.3472,0,1694,38,12,9.1499,19180,0.7215,16,10,7.5,1,9,17.53103,0.2980284,81
1,1400,0,2,43,12,3.2143,4,2156,45,12,6.1224,18600,0.6915,10,7,7.5,1,20,14.09998,1.16761,400
1,640,0,5,39,12,5.175,2.25,2250,40,12,6.1498,19151,0.7215,12,12,7.5,1,6,15.839,1.643839,36
1,2000,0,0,45,12,2,2.3,2024,51,11,6.917,18100,0.6915,7,7,5,1,23,14.1,0.6931472,529
1,1324,0,4,35,12,7.5529,3.94,2123,40,10,4.7103,20300,0.6915,12,7,5,0,9,10.29996,2.021932,81
1,2215,0,2,42,16,3.5052,3.3,4160,48,16,3.131,30419,0.6215,10,16,7.5,0,5,22.65498,1.254248,25
1,1680,0,0,30,12,3.5714,3.8,2000,35,12,4,14090,0.7215,12,10,3,0,11,8.090048,1.272958,121
1,1600,0,0,48,13,3.25,3.26,2420,52,17,7.2227,22679,0.6615,7,3,5,1,18,17.479,1.178655,324
1,800,0,0,45,12,3.25,2.2,1150,53,17,7.9652,12160,0.7215,7,7,11,0,15,9.56,1.178655,225
1,1955,1,1,31,12,2.1545,2.3,2024,31,12,4.0884,12487,0.7515,12,7,5,1,4,8.274953,0.7675587,16
1,660,0,2,43,17,3.7879,0,1904,43,17,14.181,29850,0.5815,16,14,9.5,1,21,27.34999,1.331812,441
1,525,0,0,59,12,4,3.18,2448,53,16,6.5359,18100,0.6915,3,7,9.5,1,31,16,1.386294,961
1,1904,0,3,32,12,4.7269,6.07,2000,33,13,8.5,26000,0.6615,3,7,11,1,9,16.99998,1.55327,81
1,1516,1,0,31,17,7.2559,6,2390,30,17,6.2762,26100,0.6215,12,12,5,0,7,15.10006,1.981815,49
1,346,0,0,42,12,5.8671,6.39,1920,47,10,5.2083,17730,0.7215,12,12,9.5,0,7,15.69998,1.76936,49
1,1040,0,0,50,11,1.5385,0,1840,53,10,2.7821,6719,0.7515,7,7,7.5,1,32,5.11896,0.4308079,1024
1,732,0,0,59,16,2.459,2.5,3360,57,17,4.9107,18550,0.6915,3,3,14,1,11,16.75001,0.8997548,121
1,1880,0,2,36,13,5.8511,5.2,2284,35,13,5.8669,24600,0.6615,12,10,7.5,0,16,13.59993,1.76663,256
1,1680,0,1,51,12,3.5714,3.29,1875,50,8,7.52,23100,0.6915,7,14,5,1,14,17.10005,1.272958,196
1,2081,0,3,45,16,3.8068,4.19,2140,47,17,7.5449,24656,0.6615,12,12,5,1,27,16.73405,1.336789,729
1,690,0,1,42,11,2.4638,0,1896,44,8,5.538,15897,0.7515,10,3,7.5,0,0,14.19698,0.9017048,0
1,4210,0,0,46,12,2.3753,4.63,1040,49,16,6.9231,20320,0.6915,3,3,11,1,17,10.31999,0.8651237,289
1,2205,0,1,46,10,4.5351,4.55,2200,52,12,5,21384,0.6615,10,3,11,0,28,11.3841,1.511847,784
1,1952,0,0,51,14,5.6183,5.6,1952,58,12,7.3064,25561,0.6215,7,7,14,0,24,14.59408,1.726029,576
1,1302,0,0,30,17,14.631,9.53,1560,30,17,11.218,36550,0.58,14,17,5,1,11,17.50044,2.683142,121
1,112,1,2,30,12,2.6786,0,4030,33,16,3.8462,15810,0.7215,12,12,3,0,1,15.51,0.9852943,1
1,893,0,0,57,12,3.9194,3.5,2570,58,12,5.8366,25500,0.6215,9,9,7.5,1,14,21.99998,1.365939,196
1,583,1,2,31,16,2.5729,9.98,1530,34,16,13.725,24000,0.6615,14,16,9.5,1,6,22.5,0.9450337,36
1,480,0,2,48,12,4.5375,4.65,3149,48,8,6.3493,22172,0.6615,3,3,5,0,10,19.994,1.512376,100
1,1900,0,3,30,12,2,2.23,2690,32,12,5.2528,17930,0.7215,12,7,5,0,6,14.13,0.6931472,36
1,576,0,2,34,12,3.4722,3.84,3096,33,12,1.3075,7000,0.7815,12,7,3,0,4,5.000013,1.244788,16
1,2056,0,2,48,16,2.0161,0,2552,53,16,2.7998,25300,0.7215,14,16,5,1,10,21.1549,0.7011649,100
1,1984,0,0,45,12,4.5716,4.82,2040,47,11,2.6961,16212,0.7215,10,10,11,0,22,7.141946,1.519863,484
1,2640,0,0,51,12,2.2727,0,2180,50,13,7.5688,22650,0.6615,7,7,3,0,16,16.65007,0.8209686,256
1,240,0,2,30,12,2.6375,0,1864,37,12,3.4077,6985,0.7815,12,7,14,0,6,6.352,0.9698315,36
1,1173,0,1,46,12,2.2899,2.5,2068,46,12,6.5401,30000,0.6915,7,7,11,1,12,27.31395,0.8285082,144
1,3640,0,0,58,12,1.0989,0,2010,58,12,7.2139,18500,0.6915,7,3,9.5,1,32,14.5,0.0943096,1024
1,340,0,8,37,12,1.1765,0,2152,40,10,6.2732,16658,0.7515,12,7,5,0,15,16.25799,0.1625439,225
1,500,0,0,52,8,1.6,0,1496,54,11,5.8824,10300,0.7515,7,7,5,1,17,9.5,0.4700036,289
1,1599,0,0,52,10,1.8762,2.8,2100,47,4,3.8095,11000,0.7515,7,3,7.5,0,34,7.999956,0.6292484,1156
1,1830,0,0,31,16,4.0437,4.2,1960,35,14,6.3776,19900,0.6915,12,12,7.5,1,9,12.50003,1.39716,81
1,1920,0,0,55,14,9.6354,8.75,1985,55,15,6.0453,32500,0.64,7,7,14,1,37,14.00003,2.265444,1369
1,2052,0,0,34,17,8.0409,8.25,2020,33,17,8.8119,37300,0.58,17,17,7.5,1,10,20.80007,2.084541,100
1,2312,0,0,55,14,4.599,5.58,2178,56,16,8.8765,30018,0.5815,17,7,11,1,35,19.38511,1.525839,1225
1,196,0,2,39,12,2.1429,2.5,3684,39,12,3.342,12807,0.7515,12,7,14,1,6,12.38699,0.7621601,36
1,2500,0,3,40,14,4.4,5.5,5010,42,13,3.1836,39500,0.5515,14,3,7.5,0,19,28.5,1.481605,361
1,1980,0,4,43,12,3.5354,3.75,1880,47,12,6.9149,22050,0.6915,12,12,9.5,1,10,15.04991,1.262826,100
1,1840,0,0,48,8,2.7174,4.8,1904,56,8,5.5147,15500,0.7215,7,7,14,1,11,10.49998,0.9996756,121
1,320,0,0,47,12,6.25,6.25,2083,47,12,5.2808,13810,0.7215,7,7,9.5,1,15,11.81,1.832582,225
1,419,0,4,41,12,11.933,6.3,2125,44,12,3.2,11950,0.7515,7,7,5,1,12,6.950073,2.479308,144
1,1880,0,0,36,8,3.5931,3.75,1985,37,12,5.8791,19175,0.6915,12,12,7.5,0,12,12.41997,1.279015,144
1,72,0,2,46,17,6.9444,0,2640,48,17,6.25,17900,0.6915,12,16,7.5,0,14,17.4,1.937936,196
1,120,0,0,34,12,2.9167,0,2070,51,8,7.4879,15850,0.7215,12,7,5,1,11,15.5,1.070453,121
1,1885,0,3,41,12,3.0769,2.9,2107,48,8,6.9767,27017,0.6915,7,7,5,1,9,21.21704,1.123923,81
1,240,0,1,51,12,3.75,0,2250,54,10,8,18900,0.6915,12,7,5,0,24,18,1.321756,576
1,1729,0,0,33,12,5.7259,4.76,2880,34,16,4.1319,21800,0.6915,12,12,7.5,1,12,11.89992,1.745,144
1,1850,0,0,52,12,3.6757,3.4,1848,53,12,14.476,33552,0.5515,10,10,7.5,1,13,26.75196,1.301744,169
1,2033,0,0,58,9,5.1648,4.32,1927,53,7,5.7343,22650,0.6615,7,9,7.5,1,29,12.14996,1.641866,841
1,608,2,4,34,10,8.2237,3,1304,38,9,3.3742,15200,0.7915,0,0,7.5,1,11,10.19999,2.10702,121
1,1153,0,1,31,12,4.3365,4.52,3000,35,12,1.8333,13120,0.7215,7,10,7.5,1,13,8.120015,1.467068,169
1,2208,0,1,48,12,4.9819,5.31,1892,52,12,5.6025,21660,0.6615,12,14,5,1,19,10.65996,1.605811,361
1,252,0,2,32,12,0.3571,0,3644,32,12,4.2975,18190,0.7215,7,7,3,0,2,18.10001,-1.029739,4
1,337,0,0,49,17,2.9674,0,1430,47,17,3.9161,9600,0.7515,3,3,14,1,24,8.599986,1.087686,576
1,90,2,2,32,15,1,0,2350,31,14,4.8787,13755,0.7515,10,12,7.5,1,9,13.665,0,81
1,1174,0,0,58,12,2.5554,4.87,1948,59,16,9.2402,35350,0.6615,7,12,7.5,1,6,32.34996,0.9382087,36
1,372,0,0,50,6,0.8602,2.25,1804,42,12,6.6519,12405,0.7215,12,7,7.5,1,22,12.08501,-0.1505904,484
1,30,0,0,60,14,1,0,2326,51,12,4.6217,12180,0.7515,12,17,9.5,0,30,12.15,0,900
1,1800,0,1,50,12,2.9261,0,1739,55,11,9.9741,22962,0.6615,7,3,7.5,1,10,17.69502,1.073671,100
1,282,0,0,56,14,3.5461,2.5,1176,57,17,20.918,25700,0.6215,7,7,9.5,1,6,24.7,1.265848,36
1,720,0,0,51,9,1.6264,2.2,1100,55,8,1.94,3305,0.7915,7,7,3,0,29,2.133992,0.486369,841
1,1440,0,1,54,17,8.3333,6,1528,58,17,8.8351,32950,0.5815,7,12,5,1,29,20.95005,2.12026,841
1,2100,0,0,59,13,3.0952,2.95,2250,52,15,4.6667,17000,0.6915,7,7,5,1,36,10.50008,1.129853,1296
1,1000,0,2,46,9,2.7,2.35,1927,47,10,5.1894,13250,0.7515,7,7,5,1,19,10.55,0.9932518,361
